time	experiment	replicate	formate
0	btri	A	0.846689358
4	btri	A	0.899064068
8	btri	A	1.923485214
12	btri	A	2.455839205
16	btri	A	2.457646926
24	btri	A	2.354503984
28	btri	A	2.25208367
32	btri	A	2.147636689
38	btri	A	2.242945756
48	btri	A	2.882100243
62	btri	A	2.894503074
72	btri	A	2.793804997
96	btri	A	2.840784778
120	btri	A	2.865819235
0	btri	B	0.808153254
4	btri	B	0.885784823
8	btri	B	1.856204196
12	btri	B	2.437353859
16	btri	B	2.488172428
24	btri	B	2.384742237
28	btri	B	2.190070351
32	btri	B	2.169361651
38	btri	B	2.112692664
48	btri	B	2.847242539
62	btri	B	2.873901388
72	btri	B	2.788981057
96	btri	B	2.837275144
120	btri	B	2.83324381
0	btri	C	0.876584106
4	btri	C	0.899830904
8	btri	C	1.890052861
12	btri	C	2.431451321
16	btri	C	2.526019742
24	btri	C	2.334001819
28	btri	C	2.325746185
32	btri	C	2.252705519
38	btri	C	2.855665368
48	btri	C	2.874402974
62	btri	C	2.865436865
72	btri	C	2.804580503
96	btri	C	2.853647711
120	btri	C	2.835066825
0	bhbtri	A	0.693678641
4	bhbtri	A	0.723693495
8	bhbtri	A	1.562741788
12	bhbtri	A	2.593914229
16	bhbtri	A	2.598540175
20	bhbtri	A	1.684629354
24	bhbtri	A	2.626647002
28	bhbtri	A	2.901280559
32	bhbtri	A	2.877841372
36	bhbtri	A	2.827473268
40	bhbtri	A	3.017290415
44	bhbtri	A	2.81701581
48	bhbtri	A	2.808802708
60	bhbtri	A	2.799350936
72	bhbtri	A	2.692116529
96	bhbtri	A	2.572073454
120	bhbtri	A	2.522469671
0	bhbtri	B	0.695387574
4	bhbtri	B	0.739779861
8	bhbtri	B	1.552437907
12	bhbtri	B	2.545528373
16	bhbtri	B	2.63438366
20	bhbtri	B	2.564030062
24	bhbtri	B	2.63157214
28	bhbtri	B	2.881148822
32	bhbtri	B	2.851095783
36	bhbtri	B	2.839999924
40	bhbtri	B	2.875188247
44	bhbtri	B	2.804784574
48	bhbtri	B	2.806599208
60	bhbtri	B	2.752261158
72	bhbtri	B	2.659866276
96	bhbtri	B	2.534459542
120	bhbtri	B	2.51954501
0	bt	A	1.091931784
4	bt	A	1.1007204
6	bt	A	1.27212796
8	bt	A	1.865743211
10	bt	A	2.182910276
12	bt	A	2.335725614
14	bt	A	2.075395394
16	bt	A	1.940080165
48	bt	A	1.813029111
0	bt	B	1.126269172
4	bt	B	1.197632848
6	bt	B	1.23687204
8	bt	B	1.839122094
10	bt	B	2.255006083
12	bt	B	2.345728438
14	bt	B	2.083045622
16	bt	B	2.084169889
48	bt	B	1.864727569
0	bt	C	1.088967847
4	bt	C	1.091805996
6	bt	C	1.230565935
8	bt	C	1.844790137
10	bt	C	2.151529872
12	bt	C	2.342661742
14	bt	C	2.064360852
16	bt	C	2.078333044
48	bt	C	1.552204432
0	bt	D	1.09343993
4	bt	D	1.147318705
6	bt	D	1.219529655
8	bt	D	1.74224093
10	bt	D	2.26786726
12	bt	D	2.351658918
14	bt	D	2.144134478
16	bt	D	1.921261786
48	bt	D	1.780911797
0	bt	E	1.073592657
4	bt	E	1.13562242
6	bt	E	1.29387443
8	bt	E	1.849853574
10	bt	E	2.313216598
12	bt	E	2.353440582
14	bt	E	2.183227678
16	bt	E	1.859941125
48	bt	E	1.966706279
0	bt	F	1.056723224
4	bt	F	1.106092548
6	bt	F	1.302644145
8	bt	F	1.91042103
10	bt	F	2.233270259
12	bt	F	2.175602216
14	bt	F	2.176030415
16	bt	F	1.853580491
48	bt	F	1.80664849
0	bhbt	A	0.707520808
4	bhbt	A	0.823131532
8	bhbt	A	1.688075714
12	bhbt	A	2.308696246
16	bhbt	A	2.165387884
20	bhbt	A	2.18236533
0	bhbt	B	0.731276053
4	bhbt	B	0.820803473
8	bhbt	B	1.697342272
12	bhbt	B	2.326148669
16	bhbt	B	2.192868672
20	bhbt	B	2.166825596
0	bhbt	C	0.277460268
4	bhbt	C	0.816092778
8	bhbt	C	1.719076297
12	bhbt	C	2.295976833
16	bhbt	C	2.145670992
20	bhbt	C	2.225036375