id	subpopulation_A	subpopulation_B	hillFunc	rate
1	xa	xb	(4.572019894399926e-08**1/(4.572019894399926e-08 + metObj.metD['trehalose'].concentration**1.0))	0.0250945181446201
2	xb	xa	(metObj.metD['trehalose'].concentration**50.0)/(metObj.metD['trehalose'].concentration**50.0 + 0.21**50.0)	1.5
3	xa	xc	""	1.00000001089118e-05
4	xb	xc	(0.0001293346**2.9055456987/(0.0001293346**2.9055456987 + ((metObj.metD['glucose'].concentration + metObj.metD['glutamate'].concentration - ((metObj.metD['glucose'].concentration - metObj.metD['glutamate'].concentration)**2)**0.5)/2)**2.905545698700455))	0.296037454250935
5	xc	xd	""	0.0355569688407506
6	xe	xf	(0.0099187739**1.0006644305/(0.0099187739**1.0006644305 + (metObj.metD['glucose'].concentration**1.0006644305))) * (metObj.metD['mannose'].concentration**1.0022092044/(metObj.metD['mannose'].concentration**1.0022092044 + 0.50994613706**1.0022092044))	1.4959077700
7	xe	xg	(0.0065072254**1.4599162310/(0.0065072254**1.4599162310 + (metObj.metD['glucose'].concentration**1.4599162310)))*(5.5**10)/((metObj.pH**10)+(5.5**10))	0.9575532048
8	xf	xg	(0.0000007162**29.999999996778822/(0.0000007162**29.999999996778822 + (metObj.metD['mannose'].concentration**29.9999999967)))*(5.5**10)/((metObj.pH**10)+(5.5**10))	0.0765445031
9	xg	xh	""	0.0044568271
10	xf	xe	((metObj.metD['glucose'].concentration)**10/((metObj.metD['glucose'].concentration)**10 + 0.5**10))	0.0001
11	xi	xj	((metObj.metD['lactate'].concentration+metObj.metD['acetate'].concentration)**29.9999999958/((metObj.metD['lactate'].concentration+metObj.metD['acetate'].concentration)**29.9999999958 + 2.3311915035**29.9999999958))	0.0219468232
12	xi	xl	(0.0034909802**1.1123778083/(0.0034909802**1.1123778083 + (metObj.metD['glucose'].concentration + metObj.metD['pyruvate'].concentration)**1.1123778083))	1.9999999999
13	xj	xk	""	0.0099999999
14	xk	xl	""	0.0000100000
15	xj	xi	((metObj.metD['glucose'].concentration + metObj.metD['pyruvate'].concentration)**50/((metObj.metD['glucose'].concentration + metObj.metD['pyruvate'].concentration)**50 + 8.0**50))	0.1000000000